Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference
2020-01-09,265.0,262.0,,262.0,Support,262.0,1305.0,-1043.0,-1.5210385973171983,1302.3537735849056,683.9759197563279
2020-01-15,272.0,267.0,,267.0,Support,267.0,1305.0,-1038.0,-1.513728398440926,1302.3537735849056,683.9759197563279
2020-01-20,272.0,265.0,,265.0,Support,265.0,1305.0,-1040.0,-1.516652477991435,1302.3537735849056,683.9759197563279
2020-01-22,270.0,267.0,,267.0,Support,267.0,1305.0,-1038.0,-1.513728398440926,1302.3537735849056,683.9759197563279
2020-01-27,270.0,263.0,,263.0,Support,263.0,1305.0,-1042.0,-1.519576557541944,1302.3537735849056,683.9759197563279
2020-01-29,269.0,262.0,,262.0,Support,262.0,1305.0,-1043.0,-1.5210385973171983,1302.3537735849056,683.9759197563279
2020-02-05,259.0,252.0,,252.0,Support,252.0,1305.0,-1053.0,-1.5356589950697428,1302.3537735849056,683.9759197563279
2020-02-13,237.0,216.0,,216.0,Support,216.0,1305.0,-1089.0,-1.5882924269789032,1302.3537735849056,683.9759197563279
2020-02-28,238.0,231.0,,231.0,Support,231.0,1305.0,-1074.0,-1.5663618303500864,1302.3537735849056,683.9759197563279
2020-03-10,240.0,234.0,,234.0,Support,234.0,1305.0,-1071.0,-1.561975711024323,1302.3537735849056,683.9759197563279
2020-03-13,238.0,227.0,,227.0,Support,227.0,1305.0,-1078.0,-1.5722099894511041,1302.3537735849056,683.9759197563279
2020-03-19,226.0,213.0,,213.0,Support,213.0,1305.0,-1092.0,-1.5926785463046667,1302.3537735849056,683.9759197563279
2020-03-30,258.0,245.0,,245.0,Support,245.0,1305.0,-1060.0,-1.545893273496524,1302.3537735849056,683.9759197563279
2020-04-08,275.0,267.0,,267.0,Support,267.0,1305.0,-1038.0,-1.513728398440926,1302.3537735849056,683.9759197563279
2020-04-13,274.0,268.0,,268.0,Support,268.0,1305.0,-1037.0,-1.5122663586656717,1302.3537735849056,683.9759197563279
2020-04-15,276.0,270.0,,270.0,Support,270.0,1305.0,-1035.0,-1.5093422791151627,1302.3537735849056,683.9759197563279
2020-05-04,253.0,245.0,,245.0,Support,245.0,1305.0,-1060.0,-1.545893273496524,1302.3537735849056,683.9759197563279
2020-05-13,250.0,246.0,,246.0,Support,246.0,1305.0,-1059.0,-1.5444312337212696,1302.3537735849056,683.9759197563279
2020-05-18,253.0,246.0,,246.0,Support,246.0,1305.0,-1059.0,-1.5444312337212696,1302.3537735849056,683.9759197563279
2020-05-27,248.0,246.0,,246.0,Support,246.0,1305.0,-1059.0,-1.5444312337212696,1302.3537735849056,683.9759197563279
2020-05-29,248.0,240.0,,240.0,Support,240.0,1305.0,-1065.0,-1.5532034723727963,1302.3537735849056,683.9759197563279
2020-06-05,265.0,258.0,,258.0,Support,258.0,1305.0,-1047.0,-1.5268867564182163,1302.3537735849056,683.9759197563279
2020-06-15,243.0,235.0,,235.0,Support,235.0,1305.0,-1070.0,-1.5605136712490686,1302.3537735849056,683.9759197563279
2020-06-30,238.0,234.0,,234.0,Support,234.0,1305.0,-1071.0,-1.561975711024323,1302.3537735849056,683.9759197563279
2020-07-06,240.0,235.0,,235.0,Support,235.0,1305.0,-1070.0,-1.5605136712490686,1302.3537735849056,683.9759197563279
2020-07-13,256.0,235.0,256.0,235.0,Support,235.0,1305.0,-1070.0,-1.5605136712490686,1302.3537735849056,683.9759197563279
2020-07-16,244.0,234.0,,234.0,Support,234.0,1305.0,-1071.0,-1.561975711024323,1302.3537735849056,683.9759197563279
2020-08-03,261.0,232.0,261.0,232.0,Support,232.0,1305.0,-1073.0,-1.5648997905748319,1302.3537735849056,683.9759197563279
2020-08-12,283.0,267.0,,267.0,Support,267.0,1305.0,-1038.0,-1.513728398440926,1302.3537735849056,683.9759197563279
2020-08-27,321.0,306.0,,306.0,Support,306.0,1305.0,-999.0,-1.4567088472060024,1302.3537735849056,683.9759197563279
2020-08-31,321.0,297.0,,297.0,Support,297.0,1305.0,-1008.0,-1.4698672051832924,1302.3537735849056,683.9759197563279
2020-09-04,320.0,312.0,,312.0,Support,312.0,1305.0,-993.0,-1.4479366085544756,1302.3537735849056,683.9759197563279
2020-09-11,328.0,287.0,,287.0,Support,287.0,1305.0,-1018.0,-1.484487602935837,1302.3537735849056,683.9759197563279
2020-09-17,335.0,318.0,,318.0,Support,318.0,1305.0,-987.0,-1.4391643699029488,1302.3537735849056,683.9759197563279
2020-09-22,328.0,313.0,,313.0,Support,313.0,1305.0,-992.0,-1.446474568779221,1302.3537735849056,683.9759197563279
2020-09-28,328.0,314.0,,314.0,Support,314.0,1305.0,-991.0,-1.4450125290039668,1302.3537735849056,683.9759197563279
2020-09-30,318.0,310.0,,310.0,Support,310.0,1305.0,-995.0,-1.4508606881049846,1302.3537735849056,683.9759197563279
2020-10-05,310.0,303.0,,303.0,Support,303.0,1305.0,-1002.0,-1.4610949665317658,1302.3537735849056,683.9759197563279
2020-10-07,316.0,306.0,,306.0,Support,306.0,1305.0,-999.0,-1.4567088472060024,1302.3537735849056,683.9759197563279
2020-10-13,320.0,310.0,,310.0,Support,310.0,1305.0,-995.0,-1.4508606881049846,1302.3537735849056,683.9759197563279
2020-10-16,336.0,322.0,,322.0,Support,322.0,1305.0,-983.0,-1.433316210801931,1302.3537735849056,683.9759197563279
2020-11-02,438.0,422.0,,422.0,Support,422.0,1305.0,-883.0,-1.2871122332764857,1302.3537735849056,683.9759197563279
2020-11-04,460.0,424.0,,424.0,Support,424.0,1305.0,-881.0,-1.2841881537259767,1302.3537735849056,683.9759197563279
2020-11-09,440.0,424.0,,424.0,Support,424.0,1305.0,-881.0,-1.2841881537259767,1302.3537735849056,683.9759197563279
2020-11-13,446.0,432.0,,432.0,Support,432.0,1305.0,-873.0,-1.2724918355239412,1302.3537735849056,683.9759197563279
2020-11-25,464.0,442.0,,442.0,Support,442.0,1305.0,-863.0,-1.2578714377713966,1302.3537735849056,683.9759197563279
2020-12-03,608.0,572.0,,572.0,Support,572.0,1305.0,-733.0,-1.0678062669883177,1302.3537735849056,683.9759197563279
2020-12-16,662.0,580.0,,580.0,Support,580.0,1305.0,-725.0,-1.056109948786282,1302.3537735849056,683.9759197563279
2020-12-23,634.0,566.0,,566.0,Support,566.0,1305.0,-739.0,-1.0765785056398445,1302.3537735849056,683.9759197563279
2021-01-04,610.0,578.0,,578.0,Support,578.0,1305.0,-727.0,-1.059034028336791,1302.3537735849056,683.9759197563279
2021-01-06,618.0,582.0,,582.0,Support,582.0,1305.0,-723.0,-1.0531858692357732,1302.3537735849056,683.9759197563279
2021-01-12,834.0,770.0,,770.0,Support,770.0,1305.0,-535.0,-0.7783223914879358,1302.3537735849056,683.9759197563279
2021-01-19,868.0,772.0,,772.0,Support,772.0,1305.0,-533.0,-0.7753983119374269,1302.3537735849056,683.9759197563279
2021-01-25,826.0,786.0,,786.0,Support,786.0,1305.0,-519.0,-0.7549297550838645,1302.3537735849056,683.9759197563279
2021-02-01,1130.0,946.0,,946.0,Support,946.0,1305.0,-359.0,-0.521003391043152,1302.3537735849056,683.9759197563279
2021-02-09,1355.0,1210.0,1355.0,1210.0,Resistance,1355.0,1305.0,50.0,0.07697087703591965,1302.3537735849056,683.9759197563279
2021-02-09,1355.0,1210.0,1355.0,1210.0,Support,1210.0,1305.0,-95.0,-0.13502489037597615,1302.3537735849056,683.9759197563279
2021-02-15,1535.0,1370.0,1535.0,,Resistance,1535.0,1305.0,230.0,0.3401380365817213,1302.3537735849056,683.9759197563279
2021-02-17,1440.0,1300.0,,1300.0,Support,1300.0,1305.0,-5.0,-0.0034413106030753106,1302.3537735849056,683.9759197563279
2021-02-18,1470.0,1395.0,1470.0,,Resistance,1470.0,1305.0,165.0,0.24510545119018184,1302.3537735849056,683.9759197563279
2021-02-23,1525.0,1380.0,1525.0,,Resistance,1525.0,1305.0,220.0,0.3255176388291768,1302.3537735849056,683.9759197563279
2021-02-24,1380.0,1285.0,,1285.0,Support,1285.0,1305.0,-20.0,-0.025371907231892116,1302.3537735849056,683.9759197563279
2021-02-25,1415.0,1295.0,1415.0,,Resistance,1415.0,1305.0,110.0,0.16469326355118688,1302.3537735849056,683.9759197563279
2021-03-08,1100.0,986.0,,986.0,Support,986.0,1305.0,-319.0,-0.4625218000329738,1302.3537735849056,683.9759197563279
2021-03-10,1020.0,970.0,,970.0,Support,970.0,1305.0,-335.0,-0.48591443643704507,1302.3537735849056,683.9759197563279
2021-03-17,1035.0,996.0,,996.0,Support,996.0,1305.0,-309.0,-0.44790140228042924,1302.3537735849056,683.9759197563279
2021-03-25,1020.0,930.0,,930.0,Support,930.0,1305.0,-375.0,-0.5443960274472233,1302.3537735849056,683.9759197563279
