Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference
2020-01-02,244,218,244.0,218.0,Support,218.0,366.0,-148.0,-0.8109577022686685,342.9255319148936,154.04691461146768
2020-01-13,250,216,250.0,216.0,Support,216.0,366.0,-150.0,-0.823940760092607,342.9255319148936,154.04691461146768
2020-01-16,240,220,,220.0,Support,220.0,366.0,-146.0,-0.79797464444473,342.9255319148936,154.04691461146768
2020-01-28,216,202,,202.0,Support,202.0,366.0,-164.0,-0.9148221648601764,342.9255319148936,154.04691461146768
2020-02-03,218,202,,202.0,Support,202.0,366.0,-164.0,-0.9148221648601764,342.9255319148936,154.04691461146768
2020-02-05,220,202,220.0,202.0,Support,202.0,366.0,-164.0,-0.9148221648601764,342.9255319148936,154.04691461146768
2020-02-11,210,196,,196.0,Support,196.0,366.0,-170.0,-0.9537713383319919,342.9255319148936,154.04691461146768
2020-02-14,208,192,,192.0,Support,192.0,366.0,-174.0,-0.9797374539798689,342.9255319148936,154.04691461146768
2020-02-18,204,198,,198.0,Support,198.0,366.0,-168.0,-0.9407882805080534,342.9255319148936,154.04691461146768
2020-02-26,187,184,,184.0,Support,184.0,366.0,-182.0,-1.0316696852756229,342.9255319148936,154.04691461146768
2020-03-02,191,182,,182.0,Support,182.0,366.0,-184.0,-1.0446527430995614,342.9255319148936,154.04691461146768
2020-03-09,191,177,,177.0,Support,177.0,366.0,-189.0,-1.0771103876594075,342.9255319148936,154.04691461146768
2020-03-23,138,135,,135.0,Support,135.0,366.0,-231.0,-1.3497546019621158,342.9255319148936,154.04691461146768
2020-04-02,154,145,,145.0,Support,145.0,366.0,-221.0,-1.2848393128424234,342.9255319148936,154.04691461146768
2020-04-06,160,153,,153.0,Support,153.0,366.0,-213.0,-1.2329070815466694,342.9255319148936,154.04691461146768
2020-04-08,149,149,,149.0,Support,149.0,366.0,-217.0,-1.2588731971945464,342.9255319148936,154.04691461146768
2020-04-13,154,140,,140.0,Support,140.0,366.0,-226.0,-1.3172969574022697,342.9255319148936,154.04691461146768
2020-04-17,190,178,,178.0,Support,178.0,366.0,-188.0,-1.0706188587474383,342.9255319148936,154.04691461146768
2020-04-22,192,175,,175.0,Support,175.0,366.0,-191.0,-1.090093445483346,342.9255319148936,154.04691461146768
2020-04-28,189,177,,177.0,Support,177.0,366.0,-189.0,-1.0771103876594075,342.9255319148936,154.04691461146768
2020-04-30,191,179,,179.0,Support,179.0,366.0,-187.0,-1.064127329835469,342.9255319148936,154.04691461146768
2020-05-11,192,171,,171.0,Support,171.0,366.0,-195.0,-1.116059561131223,342.9255319148936,154.04691461146768
2020-05-14,191,180,,180.0,Support,180.0,366.0,-186.0,-1.0576358009234998,342.9255319148936,154.04691461146768
2020-05-19,187,166,,166.0,Support,166.0,366.0,-200.0,-1.1485172056910693,342.9255319148936,154.04691461146768
2020-05-26,191,177,,177.0,Support,177.0,366.0,-189.0,-1.0771103876594075,342.9255319148936,154.04691461146768
2020-06-03,224,179,224.0,179.0,Support,179.0,366.0,-187.0,-1.064127329835469,342.9255319148936,154.04691461146768
2020-06-12,192,180,,180.0,Support,180.0,366.0,-186.0,-1.0576358009234998,342.9255319148936,154.04691461146768
2020-06-25,208,190,,190.0,Support,190.0,366.0,-176.0,-0.9927205118038074,342.9255319148936,154.04691461146768
2020-07-06,198,181,,181.0,Support,181.0,366.0,-185.0,-1.0511442720115305,342.9255319148936,154.04691461146768
2020-07-15,202,181,,181.0,Support,181.0,366.0,-185.0,-1.0511442720115305,342.9255319148936,154.04691461146768
2020-07-22,212,183,,183.0,Support,183.0,366.0,-183.0,-1.038161214187592,342.9255319148936,154.04691461146768
2020-08-05,186,178,,178.0,Support,178.0,366.0,-188.0,-1.0706188587474383,342.9255319148936,154.04691461146768
2020-08-11,202,183,202.0,183.0,Support,183.0,366.0,-183.0,-1.038161214187592,342.9255319148936,154.04691461146768
2020-08-13,202,190,202.0,190.0,Support,190.0,366.0,-176.0,-0.9927205118038074,342.9255319148936,154.04691461146768
2020-08-24,190,181,,181.0,Support,181.0,366.0,-185.0,-1.0511442720115305,342.9255319148936,154.04691461146768
2020-08-27,183,182,,182.0,Support,182.0,366.0,-184.0,-1.0446527430995614,342.9255319148936,154.04691461146768
2020-09-01,191,182,,182.0,Support,182.0,366.0,-184.0,-1.0446527430995614,342.9255319148936,154.04691461146768
2020-09-07,191,178,,178.0,Support,178.0,366.0,-188.0,-1.0706188587474383,342.9255319148936,154.04691461146768
2020-09-11,192,178,,178.0,Support,178.0,366.0,-188.0,-1.0706188587474383,342.9255319148936,154.04691461146768
2020-09-17,192,180,,180.0,Support,180.0,366.0,-186.0,-1.0576358009234998,342.9255319148936,154.04691461146768
2020-09-24,192,182,,182.0,Support,182.0,366.0,-184.0,-1.0446527430995614,342.9255319148936,154.04691461146768
2020-10-02,192,181,,181.0,Support,181.0,366.0,-185.0,-1.0511442720115305,342.9255319148936,154.04691461146768
2020-10-06,196,181,,181.0,Support,181.0,366.0,-185.0,-1.0511442720115305,342.9255319148936,154.04691461146768
2020-10-19,192,182,,182.0,Support,182.0,366.0,-184.0,-1.0446527430995614,342.9255319148936,154.04691461146768
2020-10-26,192,185,,185.0,Support,185.0,366.0,-181.0,-1.0251781563636535,342.9255319148936,154.04691461146768
2020-11-09,192,183,,183.0,Support,183.0,366.0,-183.0,-1.038161214187592,342.9255319148936,154.04691461146768
2020-11-12,192,186,,186.0,Support,186.0,366.0,-180.0,-1.0186866274516844,342.9255319148936,154.04691461146768
2020-11-17,192,185,,185.0,Support,185.0,366.0,-181.0,-1.0251781563636535,342.9255319148936,154.04691461146768
2020-11-19,192,187,,187.0,Support,187.0,366.0,-179.0,-1.012195098539715,342.9255319148936,154.04691461146768
2020-11-25,210,192,,192.0,Support,192.0,366.0,-174.0,-0.9797374539798689,342.9255319148936,154.04691461146768
2020-12-02,240,220,,220.0,Support,220.0,366.0,-146.0,-0.79797464444473,342.9255319148936,154.04691461146768
2020-12-04,256,230,,230.0,Support,230.0,366.0,-136.0,-0.7330593553250375,342.9255319148936,154.04691461146768
2020-12-14,294,278,,278.0,Support,278.0,366.0,-88.0,-0.4214659675505138,342.9255319148936,154.04691461146768
2020-12-17,384,332,384.0,,Resistance,384.0,366.0,18.0,0.26663609711822617,342.9255319148936,154.04691461146768
2021-01-04,308,244,,244.0,Support,244.0,366.0,-122.0,-0.6421779505574682,342.9255319148936,154.04691461146768
2021-01-11,294,268,,268.0,Support,268.0,366.0,-98.0,-0.48638125667020626,342.9255319148936,154.04691461146768
2021-01-20,430,346,430.0,,Resistance,430.0,366.0,64.0,0.5652464270688115,342.9255319148936,154.04691461146768
2021-01-28,316,278,,278.0,Support,278.0,366.0,-88.0,-0.4214659675505138,342.9255319148936,154.04691461146768
2021-02-01,302,274,,274.0,Support,274.0,366.0,-92.0,-0.4474320831983908,342.9255319148936,154.04691461146768
2021-02-04,296,278,,278.0,Support,278.0,366.0,-88.0,-0.4214659675505138,342.9255319148936,154.04691461146768
2021-02-19,288,272,,272.0,Support,272.0,366.0,-94.0,-0.4604151410223293,342.9255319148936,154.04691461146768
2021-02-26,284,272,,272.0,Support,272.0,366.0,-94.0,-0.4604151410223293,342.9255319148936,154.04691461146768
2021-03-05,284,268,,268.0,Support,268.0,366.0,-98.0,-0.48638125667020626,342.9255319148936,154.04691461146768
2021-03-09,278,266,,266.0,Support,266.0,366.0,-100.0,-0.49936431449414476,342.9255319148936,154.04691461146768
2021-03-17,286,270,,270.0,Support,270.0,366.0,-96.0,-0.47339819884626777,342.9255319148936,154.04691461146768
2021-03-24,286,270,,270.0,Support,270.0,366.0,-96.0,-0.47339819884626777,342.9255319148936,154.04691461146768
2021-03-31,280,270,,270.0,Support,270.0,366.0,-96.0,-0.47339819884626777,342.9255319148936,154.04691461146768
2021-04-21,274,264,,264.0,Support,264.0,366.0,-102.0,-0.5123473723180832,342.9255319148936,154.04691461146768
2021-04-27,272,266,,266.0,Support,266.0,366.0,-100.0,-0.49936431449414476,342.9255319148936,154.04691461146768
2021-05-06,272,258,272.0,258.0,Support,258.0,366.0,-108.0,-0.5512965457898987,342.9255319148936,154.04691461146768
2021-05-21,254,238,,238.0,Support,238.0,366.0,-128.0,-0.6811271240292837,342.9255319148936,154.04691461146768
2021-06-04,256,232,,232.0,Support,232.0,366.0,-134.0,-0.720076297501099,342.9255319148936,154.04691461146768
2021-06-10,234,230,,230.0,Support,230.0,366.0,-136.0,-0.7330593553250375,342.9255319148936,154.04691461146768
2021-06-22,236,222,,222.0,Support,222.0,366.0,-144.0,-0.7849915866207915,342.9255319148936,154.04691461146768
2021-06-28,234,220,,220.0,Support,220.0,366.0,-146.0,-0.79797464444473,342.9255319148936,154.04691461146768
2021-07-06,230,218,230.0,218.0,Support,218.0,366.0,-148.0,-0.8109577022686685,342.9255319148936,154.04691461146768
2021-07-13,236,224,,224.0,Support,224.0,366.0,-142.0,-0.772008528796853,342.9255319148936,154.04691461146768
2021-07-22,248,236,,236.0,Support,236.0,366.0,-130.0,-0.6941101818532222,342.9255319148936,154.04691461146768
2021-07-27,244,230,,230.0,Support,230.0,366.0,-136.0,-0.7330593553250375,342.9255319148936,154.04691461146768
2021-08-04,242,234,,234.0,Support,234.0,366.0,-132.0,-0.7070932396771605,342.9255319148936,154.04691461146768
2021-08-09,240,224,,224.0,Support,224.0,366.0,-142.0,-0.772008528796853,342.9255319148936,154.04691461146768
2021-08-18,308,260,308.0,260.0,Support,260.0,366.0,-106.0,-0.5383134879659602,342.9255319148936,154.04691461146768
2021-08-20,280,250,,250.0,Support,250.0,366.0,-116.0,-0.6032287770856527,342.9255319148936,154.04691461146768
2021-08-24,286,250,286.0,250.0,Support,250.0,366.0,-116.0,-0.6032287770856527,342.9255319148936,154.04691461146768
2021-08-26,266,252,,252.0,Support,252.0,366.0,-114.0,-0.5902457192617142,342.9255319148936,154.04691461146768
