Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference
2020-01-03,486.0,480.0,,480.0,Support,480.0,1205.0,-725.0,-1.0397176524899807,883.34,387.9322420217222
2020-01-10,490.0,486.0,,486.0,Support,486.0,1205.0,-719.0,-1.0242510339672954,883.34,387.9322420217222
2020-01-16,496.0,480.0,496.0,480.0,Support,480.0,1205.0,-725.0,-1.0397176524899807,883.34,387.9322420217222
2020-01-23,434.0,402.0,,402.0,Support,402.0,1205.0,-803.0,-1.2407836932848895,883.34,387.9322420217222
2020-02-10,430.0,410.0,,410.0,Support,410.0,1205.0,-795.0,-1.2201615352546424,883.34,387.9322420217222
2020-02-13,418.0,402.0,,402.0,Support,402.0,1205.0,-803.0,-1.2407836932848895,883.34,387.9322420217222
2020-03-04,372.0,356.0,,356.0,Support,356.0,1205.0,-849.0,-1.35936110195881,883.34,387.9322420217222
2020-03-20,248.0,210.0,,210.0,Support,210.0,1205.0,-995.0,-1.7357154860108186,883.34,387.9322420217222
2020-03-31,308.0,292.0,,292.0,Support,292.0,1205.0,-913.0,-1.5243383662007863,883.34,387.9322420217222
2020-04-09,350.0,324.0,,324.0,Support,324.0,1205.0,-881.0,-1.4418497340797982,883.34,387.9322420217222
2020-04-22,310.0,292.0,,292.0,Support,292.0,1205.0,-913.0,-1.5243383662007863,883.34,387.9322420217222
2020-04-24,310.0,290.0,,290.0,Support,290.0,1205.0,-915.0,-1.529493905708348,883.34,387.9322420217222
2020-04-28,310.0,290.0,,290.0,Support,290.0,1205.0,-915.0,-1.529493905708348,883.34,387.9322420217222
2020-05-06,312.0,306.0,,306.0,Support,306.0,1205.0,-899.0,-1.488249589647854,883.34,387.9322420217222
2020-05-19,304.0,298.0,,298.0,Support,298.0,1205.0,-907.0,-1.508871747678101,883.34,387.9322420217222
2020-05-29,308.0,300.0,,300.0,Support,300.0,1205.0,-905.0,-1.5037162081705393,883.34,387.9322420217222
2020-06-03,316.0,302.0,,302.0,Support,302.0,1205.0,-903.0,-1.4985606686629775,883.34,387.9322420217222
2020-06-05,314.0,308.0,,308.0,Support,308.0,1205.0,-897.0,-1.4830940501402923,883.34,387.9322420217222
2020-06-12,318.0,300.0,,300.0,Support,300.0,1205.0,-905.0,-1.5037162081705393,883.34,387.9322420217222
2020-06-23,318.0,314.0,,314.0,Support,314.0,1205.0,-891.0,-1.467627431617607,883.34,387.9322420217222
2020-06-25,320.0,308.0,,308.0,Support,308.0,1205.0,-897.0,-1.4830940501402923,883.34,387.9322420217222
2020-07-01,326.0,316.0,,316.0,Support,316.0,1205.0,-889.0,-1.4624718921100452,883.34,387.9322420217222
2020-07-08,342.0,334.0,,334.0,Support,334.0,1205.0,-871.0,-1.4160720365419894,883.34,387.9322420217222
2020-07-21,384.0,372.0,,372.0,Support,372.0,1205.0,-833.0,-1.3181167858983158,883.34,387.9322420217222
2020-08-04,404.0,384.0,,384.0,Support,384.0,1205.0,-821.0,-1.2871835488529453,883.34,387.9322420217222
2020-08-07,420.0,400.0,,400.0,Support,400.0,1205.0,-805.0,-1.2459392327924512,883.34,387.9322420217222
2020-08-31,410.0,388.0,,388.0,Support,388.0,1205.0,-817.0,-1.2768724698378218,883.34,387.9322420217222
2020-09-04,400.0,390.0,,390.0,Support,390.0,1205.0,-815.0,-1.27171693033026,883.34,387.9322420217222
2020-09-11,380.0,336.0,,336.0,Support,336.0,1205.0,-869.0,-1.4109164970344277,883.34,387.9322420217222
2020-09-24,362.0,346.0,,346.0,Support,346.0,1205.0,-859.0,-1.3851387994966189,883.34,387.9322420217222
2020-09-29,376.0,364.0,,364.0,Support,364.0,1205.0,-841.0,-1.3387389439285629,883.34,387.9322420217222
2020-10-07,376.0,370.0,,370.0,Support,370.0,1205.0,-835.0,-1.3232723254058776,883.34,387.9322420217222
2020-10-09,380.0,370.0,,370.0,Support,370.0,1205.0,-835.0,-1.3232723254058776,883.34,387.9322420217222
2020-10-15,380.0,368.0,,368.0,Support,368.0,1205.0,-837.0,-1.3284278649134393,883.34,387.9322420217222
2020-10-22,372.0,366.0,,366.0,Support,366.0,1205.0,-839.0,-1.333583404421001,883.34,387.9322420217222
2020-11-02,372.0,366.0,,366.0,Support,366.0,1205.0,-839.0,-1.333583404421001,883.34,387.9322420217222
2020-11-05,374.0,370.0,,370.0,Support,370.0,1205.0,-835.0,-1.3232723254058776,883.34,387.9322420217222
2020-11-16,396.0,382.0,,382.0,Support,382.0,1205.0,-823.0,-1.292339088360507,883.34,387.9322420217222
2020-11-20,402.0,374.0,,374.0,Support,374.0,1205.0,-831.0,-1.312961246390754,883.34,387.9322420217222
2020-11-26,414.0,400.0,,400.0,Support,400.0,1205.0,-805.0,-1.2459392327924512,883.34,387.9322420217222
2020-12-07,430.0,412.0,,412.0,Support,412.0,1205.0,-793.0,-1.2150059957470807,883.34,387.9322420217222
2020-12-18,590.0,540.0,,540.0,Support,540.0,1205.0,-665.0,-0.8850514672631279,883.34,387.9322420217222
2021-01-04,505.0,448.0,505.0,448.0,Support,448.0,1205.0,-757.0,-1.1222062846109688,883.34,387.9322420217222
2021-01-06,500.0,470.0,,470.0,Support,470.0,1205.0,-735.0,-1.0654953500277895,883.34,387.9322420217222
2021-01-19,525.0,484.0,,484.0,Support,484.0,1205.0,-721.0,-1.0294065734748572,883.34,387.9322420217222
2021-01-29,420.0,384.0,,384.0,Support,384.0,1205.0,-821.0,-1.2871835488529453,883.34,387.9322420217222
2021-02-04,438.0,414.0,438.0,414.0,Support,414.0,1205.0,-791.0,-1.209850456239519,883.34,387.9322420217222
2021-02-26,438.0,428.0,,428.0,Support,428.0,1205.0,-777.0,-1.1737616796865866,883.34,387.9322420217222
2021-03-08,438.0,420.0,438.0,420.0,Support,420.0,1205.0,-785.0,-1.1943838377168337,883.34,387.9322420217222
2021-03-22,438.0,428.0,,428.0,Support,428.0,1205.0,-777.0,-1.1737616796865866,883.34,387.9322420217222
2021-04-01,418.0,408.0,,408.0,Support,408.0,1205.0,-797.0,-1.2253170747622042,883.34,387.9322420217222
2021-04-08,418.0,412.0,,412.0,Support,412.0,1205.0,-793.0,-1.2150059957470807,883.34,387.9322420217222
2021-05-04,486.0,464.0,,464.0,Support,464.0,1205.0,-741.0,-1.0809619685504748,883.34,387.9322420217222
2021-05-18,474.0,440.0,,440.0,Support,440.0,1205.0,-765.0,-1.142828442641216,883.34,387.9322420217222
2021-05-20,458.0,448.0,,448.0,Support,448.0,1205.0,-757.0,-1.1222062846109688,883.34,387.9322420217222
2021-06-02,480.0,462.0,,462.0,Support,462.0,1205.0,-743.0,-1.0861175080580365,883.34,387.9322420217222
2021-06-04,478.0,460.0,,460.0,Support,460.0,1205.0,-745.0,-1.0912730475655983,883.34,387.9322420217222
