Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference
2020-01-23,165.0,160.0,,160.0,Support,160.0,183.0,-23.0,-0.6880080388969279,188.4321608040201,41.325332258624364
2020-02-04,135.0,129.0,,129.0,Support,129.0,183.0,-54.0,-1.438153247796742,188.4321608040201,41.325332258624364
2020-02-07,143.0,136.0,,136.0,Support,136.0,183.0,-47.0,-1.268765619980655,188.4321608040201,41.325332258624364
2020-02-25,125.0,114.0,,114.0,Support,114.0,183.0,-69.0,-1.8011267359740715,188.4321608040201,41.325332258624364
2020-02-28,105.0,90.0,,90.0,Support,90.0,183.0,-93.0,-2.3818843170577986,188.4321608040201,41.325332258624364
2020-03-20,74.0,62.0,74.0,62.0,Support,62.0,183.0,-121.0,-3.059434828322147,188.4321608040201,41.325332258624364
2020-03-24,74.0,63.0,,63.0,Support,63.0,183.0,-120.0,-3.0352365957769916,188.4321608040201,41.325332258624364
2020-03-30,81.0,77.0,,77.0,Support,77.0,183.0,-106.0,-2.6964613401448174,188.4321608040201,41.325332258624364
2020-04-09,108.0,100.0,,100.0,Support,100.0,183.0,-83.0,-2.1399019916062456,188.4321608040201,41.325332258624364
2020-04-16,121.0,113.0,,113.0,Support,113.0,183.0,-70.0,-1.8253249685192268,188.4321608040201,41.325332258624364
2020-04-21,130.0,107.0,,107.0,Support,107.0,183.0,-76.0,-1.9705143637901585,188.4321608040201,41.325332258624364
2020-04-27,122.0,115.0,,115.0,Support,115.0,183.0,-68.0,-1.7769285034289162,188.4321608040201,41.325332258624364
2020-05-04,121.0,116.0,,116.0,Support,116.0,183.0,-67.0,-1.7527302708837609,188.4321608040201,41.325332258624364
2020-05-13,143.0,124.0,143.0,124.0,Support,124.0,183.0,-59.0,-1.5591444105225185,188.4321608040201,41.325332258624364
2020-05-15,133.0,122.0,,122.0,Support,122.0,183.0,-61.0,-1.607540875612829,188.4321608040201,41.325332258624364
2020-05-20,128.0,123.0,,123.0,Support,123.0,183.0,-60.0,-1.5833426430676738,188.4321608040201,41.325332258624364
2020-06-03,132.0,124.0,,124.0,Support,124.0,183.0,-59.0,-1.5591444105225185,188.4321608040201,41.325332258624364
2020-06-05,131.0,126.0,,126.0,Support,126.0,183.0,-57.0,-1.510747945432208,188.4321608040201,41.325332258624364
2020-06-12,128.0,120.0,,120.0,Support,120.0,183.0,-63.0,-1.6559373407031397,188.4321608040201,41.325332258624364
2020-06-25,129.0,124.0,,124.0,Support,124.0,183.0,-59.0,-1.5591444105225185,188.4321608040201,41.325332258624364
2020-07-01,125.0,120.0,,120.0,Support,120.0,183.0,-63.0,-1.6559373407031397,188.4321608040201,41.325332258624364
2020-08-10,131.0,125.0,,125.0,Support,125.0,183.0,-58.0,-1.5349461779773632,188.4321608040201,41.325332258624364
2020-08-18,126.0,117.0,,117.0,Support,117.0,183.0,-66.0,-1.7285320383386056,188.4321608040201,41.325332258624364
2020-09-01,130.0,123.0,,123.0,Support,123.0,183.0,-60.0,-1.5833426430676738,188.4321608040201,41.325332258624364
2020-09-04,137.0,126.0,,126.0,Support,126.0,183.0,-57.0,-1.510747945432208,188.4321608040201,41.325332258624364
2020-09-11,136.0,112.0,136.0,112.0,Support,112.0,183.0,-71.0,-1.849523201064382,188.4321608040201,41.325332258624364
2020-09-17,129.0,123.0,,123.0,Support,123.0,183.0,-60.0,-1.5833426430676738,188.4321608040201,41.325332258624364
2020-09-24,118.0,111.0,,111.0,Support,111.0,183.0,-72.0,-1.8737214336095374,188.4321608040201,41.325332258624364
2020-09-30,121.0,117.0,,117.0,Support,117.0,183.0,-66.0,-1.7285320383386056,188.4321608040201,41.325332258624364
2020-10-02,127.0,118.0,127.0,118.0,Support,118.0,183.0,-65.0,-1.7043338057934503,188.4321608040201,41.325332258624364
2020-11-02,122.0,118.0,,118.0,Support,118.0,183.0,-65.0,-1.7043338057934503,188.4321608040201,41.325332258624364
2020-11-04,122.0,117.0,,117.0,Support,117.0,183.0,-66.0,-1.7285320383386056,188.4321608040201,41.325332258624364
2020-11-19,138.0,128.0,,128.0,Support,128.0,183.0,-55.0,-1.4623514803418973,188.4321608040201,41.325332258624364
2020-12-01,143.0,136.0,,136.0,Support,136.0,183.0,-47.0,-1.268765619980655,188.4321608040201,41.325332258624364
2020-12-14,246.0,218.0,246.0,,Resistance,246.0,183.0,63.0,1.3930399599864274,188.4321608040201,41.325332258624364
2020-12-16,284.0,238.0,284.0,,Resistance,284.0,183.0,101.0,2.3125727967023284,188.4321608040201,41.325332258624364
