Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference
2020-01-13,1870.0,1850.0,1870.0,,Resistance,1870.0,770.0,1100.0,3.931554668639443,752.1428571428571,284.32954316364356
2020-01-21,1835.0,1820.0,1835.0,,Resistance,1835.0,770.0,1065.0,3.808458068790668,752.1428571428571,284.32954316364356
2020-02-17,1800.0,1790.0,1800.0,,Resistance,1800.0,770.0,1030.0,3.685361468941893,752.1428571428571,284.32954316364356
2020-03-05,1765.0,1760.0,1765.0,,Resistance,1765.0,770.0,995.0,3.5622648690931182,752.1428571428571,284.32954316364356
2020-04-22,1605.0,1605.0,1605.0,,Resistance,1605.0,770.0,835.0,2.9995375554987187,752.1428571428571,284.32954316364356
2020-07-08,1830.0,1365.0,1830.0,,Resistance,1830.0,770.0,1060.0,3.7908728402408434,752.1428571428571,284.32954316364356
2020-07-17,1500.0,1305.0,1500.0,1305.0,Resistance,1500.0,770.0,730.0,2.6302477559523942,752.1428571428571,284.32954316364356
2020-07-22,1405.0,1405.0,1405.0,,Resistance,1405.0,770.0,635.0,2.2961284135057194,752.1428571428571,284.32954316364356
2020-07-24,1405.0,1400.0,1405.0,,Resistance,1405.0,770.0,635.0,2.2961284135057194,752.1428571428571,284.32954316364356
2020-11-16,750.0,700.0,,700.0,Support,700.0,770.0,-70.0,-0.1833888120196033,752.1428571428571,284.32954316364356
2020-11-17,810.0,710.0,810.0,,Resistance,810.0,770.0,40.0,0.20348621607654635,752.1428571428571,284.32954316364356
2020-11-23,700.0,665.0,,665.0,Support,665.0,770.0,-105.0,-0.3064854118683782,752.1428571428571,284.32954316364356
2020-12-02,615.0,575.0,,575.0,Support,575.0,770.0,-195.0,-0.6230195257652279,752.1428571428571,284.32954316364356
2020-12-15,530.0,510.0,,510.0,Support,510.0,770.0,-260.0,-0.8516274969129527,752.1428571428571,284.32954316364356
2020-12-18,650.0,530.0,650.0,530.0,Support,530.0,770.0,-240.0,-0.7812865827136528,752.1428571428571,284.32954316364356
2020-12-28,580.0,492.0,580.0,492.0,Support,492.0,770.0,-278.0,-0.9149343196923226,752.1428571428571,284.32954316364356
2020-12-30,570.0,490.0,570.0,490.0,Support,490.0,770.0,-280.0,-0.9219684111122526,752.1428571428571,284.32954316364356
2021-01-05,520.0,500.0,,500.0,Support,500.0,770.0,-270.0,-0.8867979540126026,752.1428571428571,284.32954316364356
2021-01-08,500.0,488.0,,488.0,Support,488.0,770.0,-282.0,-0.9290025025321826,752.1428571428571,284.32954316364356
2021-01-15,600.0,525.0,,525.0,Support,525.0,770.0,-245.0,-0.7988718112634777,752.1428571428571,284.32954316364356
2021-01-25,600.0,482.0,600.0,482.0,Support,482.0,770.0,-288.0,-0.9501047767919726,752.1428571428571,284.32954316364356
2021-01-29,520.0,454.0,,454.0,Support,454.0,770.0,-316.0,-1.0485820566709925,752.1428571428571,284.32954316364356
2021-02-04,605.0,454.0,605.0,454.0,Support,454.0,770.0,-316.0,-1.0485820566709925,752.1428571428571,284.32954316364356
2021-02-08,460.0,450.0,,450.0,Support,450.0,770.0,-320.0,-1.0626502395108526,752.1428571428571,284.32954316364356
2021-02-10,550.0,442.0,550.0,442.0,Support,442.0,770.0,-328.0,-1.0907866051905726,752.1428571428571,284.32954316364356
