Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference
2020-01-10,370.0,342.0,370.0,342.0,Resistance,370.0,310.0,60.0,-0.8505929942089949,674.3503184713376,357.8095758411069
2020-01-21,368.0,368.0,368.0,,Resistance,368.0,310.0,58.0,-0.8561825595393766,674.3503184713376,357.8095758411069
2020-02-03,370.0,360.0,370.0,,Resistance,370.0,310.0,60.0,-0.8505929942089949,674.3503184713376,357.8095758411069
2020-02-11,348.0,330.0,348.0,330.0,Resistance,348.0,310.0,38.0,-0.9120782128431927,674.3503184713376,357.8095758411069
2020-03-09,378.0,378.0,378.0,,Resistance,378.0,310.0,68.0,-0.8282347328874685,674.3503184713376,357.8095758411069
2020-03-24,376.0,376.0,376.0,,Resistance,376.0,310.0,66.0,-0.8338242982178501,674.3503184713376,357.8095758411069
2020-04-01,378.0,378.0,378.0,,Resistance,378.0,310.0,68.0,-0.8282347328874685,674.3503184713376,357.8095758411069
2020-04-06,370.0,342.0,370.0,342.0,Resistance,370.0,310.0,60.0,-0.8505929942089949,674.3503184713376,357.8095758411069
2020-04-21,344.0,312.0,344.0,312.0,Resistance,344.0,310.0,34.0,-0.9232573435039558,674.3503184713376,357.8095758411069
2020-06-04,368.0,352.0,368.0,,Resistance,368.0,310.0,58.0,-0.8561825595393766,674.3503184713376,357.8095758411069
2020-06-26,378.0,350.0,378.0,350.0,Resistance,378.0,310.0,68.0,-0.8282347328874685,674.3503184713376,357.8095758411069
2020-06-30,368.0,348.0,368.0,348.0,Resistance,368.0,310.0,58.0,-0.8561825595393766,674.3503184713376,357.8095758411069
2020-07-09,352.0,348.0,352.0,,Resistance,352.0,310.0,42.0,-0.9008990821824294,674.3503184713376,357.8095758411069
2020-08-06,350.0,346.0,350.0,,Resistance,350.0,310.0,40.0,-0.906488647512811,674.3503184713376,357.8095758411069
2020-08-14,394.0,344.0,394.0,,Resistance,394.0,310.0,84.0,-0.7835182102444156,674.3503184713376,357.8095758411069
2020-09-02,440.0,398.0,440.0,398.0,Resistance,440.0,310.0,130.0,-0.6549582076456386,674.3503184713376,357.8095758411069
2020-09-04,438.0,400.0,438.0,,Resistance,438.0,310.0,128.0,-0.6605477729760203,674.3503184713376,357.8095758411069
2020-09-25,430.0,402.0,430.0,,Resistance,430.0,310.0,120.0,-0.6829060342975467,674.3503184713376,357.8095758411069
2020-10-02,410.0,406.0,410.0,,Resistance,410.0,310.0,100.0,-0.7388016876013628,674.3503184713376,357.8095758411069
2020-10-15,400.0,380.0,400.0,,Resistance,400.0,310.0,90.0,-0.7667495142532709,674.3503184713376,357.8095758411069
2020-10-19,404.0,388.0,404.0,,Resistance,404.0,310.0,94.0,-0.7555703835925076,674.3503184713376,357.8095758411069
2020-10-21,400.0,390.0,400.0,,Resistance,400.0,310.0,90.0,-0.7667495142532709,674.3503184713376,357.8095758411069
2020-11-12,390.0,370.0,390.0,370.0,Resistance,390.0,310.0,80.0,-0.7946973409051789,674.3503184713376,357.8095758411069
2020-11-24,402.0,396.0,402.0,,Resistance,402.0,310.0,92.0,-0.7611599489228892,674.3503184713376,357.8095758411069
