Tanggal,Open,High,Low,Close,Volume
,APEX.JK,APEX.JK,APEX.JK,APEX.JK,APEX.JK
2019-12-26,348.0,348.0,348.0,348.0,0
2019-12-27,346.0,346.0,346.0,346.0,1000
2019-12-30,346.0,346.0,346.0,346.0,0
2020-01-02,346.0,346.0,346.0,346.0,0
2020-01-03,346.0,346.0,346.0,346.0,0
2020-01-06,312.0,340.0,312.0,336.0,12800
2020-01-07,332.0,332.0,332.0,332.0,100
2020-01-08,332.0,390.0,332.0,340.0,9400
2020-01-09,340.0,340.0,262.0,322.0,1500
2020-01-10,270.0,348.0,270.0,300.0,500
2020-01-13,300.0,300.0,300.0,300.0,0
2020-01-14,284.0,300.0,264.0,300.0,29600
2020-01-15,370.0,370.0,266.0,266.0,6400
2020-01-16,268.0,290.0,264.0,278.0,577000
2020-01-17,278.0,278.0,260.0,268.0,583700
2020-01-20,288.0,320.0,242.0,260.0,10600
2020-01-21,250.0,272.0,250.0,272.0,8400
2020-01-22,292.0,292.0,270.0,270.0,3200
2020-01-23,270.0,270.0,270.0,270.0,0
2020-01-24,268.0,268.0,268.0,268.0,100
2020-01-27,268.0,268.0,260.0,260.0,3000
2020-01-28,270.0,270.0,244.0,244.0,400
2020-01-29,244.0,264.0,244.0,244.0,203800
2020-01-30,244.0,266.0,244.0,244.0,51100
2020-01-31,260.0,260.0,250.0,250.0,20100
2020-02-03,250.0,258.0,250.0,258.0,4800
2020-02-04,272.0,272.0,220.0,236.0,23200
2020-02-05,234.0,234.0,232.0,234.0,1900
2020-02-06,232.0,234.0,202.0,232.0,99300
2020-02-07,232.0,232.0,232.0,232.0,0
2020-02-10,230.0,230.0,230.0,230.0,1100
2020-02-11,220.0,230.0,220.0,230.0,8100
2020-02-12,246.0,246.0,230.0,230.0,18000
2020-02-13,228.0,228.0,228.0,228.0,1000
2020-02-14,228.0,228.0,228.0,228.0,900
2020-02-17,226.0,226.0,226.0,226.0,400
2020-02-18,210.0,226.0,200.0,200.0,28800
2020-02-19,198.0,200.0,188.0,200.0,511100
2020-02-20,200.0,200.0,199.0,199.0,50400
2020-02-21,199.0,199.0,199.0,199.0,0
2020-02-24,199.0,199.0,182.0,182.0,900
2020-02-25,181.0,181.0,152.0,153.0,1400
2020-02-26,153.0,153.0,134.0,134.0,8700
2020-02-27,129.0,130.0,129.0,130.0,1700
2020-02-28,130.0,130.0,130.0,130.0,0
2020-03-02,130.0,150.0,130.0,150.0,2100
2020-03-03,150.0,150.0,150.0,150.0,1100
2020-03-04,150.0,150.0,101.0,115.0,1400
2020-03-05,115.0,130.0,106.0,108.0,68300
2020-03-06,120.0,120.0,120.0,120.0,1300
2020-03-09,121.0,123.0,110.0,110.0,7000
2020-03-10,100.0,120.0,100.0,102.0,58300
2020-03-11,136.0,136.0,110.0,110.0,90900
2020-03-12,138.0,148.0,105.0,108.0,49500
2020-03-13,101.0,105.0,101.0,105.0,11500
2020-03-16,105.0,135.0,100.0,135.0,1300
2020-03-17,126.0,170.0,126.0,170.0,2500
2020-03-18,226.0,226.0,160.0,160.0,57800
2020-03-19,161.0,206.0,161.0,165.0,24400
2020-03-20,165.0,165.0,156.0,156.0,7000
2020-03-23,210.0,210.0,160.0,190.0,112200
2020-03-24,190.0,200.0,182.0,182.0,7100
2020-03-26,176.0,182.0,170.0,170.0,27800
2020-03-27,175.0,175.0,160.0,160.0,64100
2020-03-30,160.0,160.0,160.0,160.0,0
2020-03-31,160.0,160.0,160.0,160.0,0
2020-04-01,160.0,160.0,160.0,160.0,0
2020-04-02,150.0,150.0,150.0,150.0,1700
2020-04-03,150.0,150.0,140.0,140.0,1200
2020-04-06,140.0,140.0,131.0,131.0,18300
2020-04-07,122.0,150.0,122.0,147.0,3300
2020-04-08,157.0,157.0,137.0,137.0,61200
2020-04-09,137.0,137.0,128.0,128.0,2200
2020-04-13,120.0,124.0,120.0,120.0,142600
2020-04-14,120.0,130.0,115.0,116.0,418400
2020-04-15,118.0,119.0,109.0,116.0,57300
