Tanggal,Open,High,Low,Close,Volume
2019-12-26,540.0,560.0,525.0,530.0,16300
2019-12-27,555.0,555.0,535.0,545.0,57400
2019-12-30,530.0,550.0,525.0,540.0,133500
2020-01-02,560.0,590.0,550.0,565.0,12700
2020-01-03,565.0,570.0,540.0,550.0,47900
2020-01-06,550.0,550.0,550.0,550.0,24600
2020-01-07,550.0,585.0,550.0,555.0,15500
2020-01-08,555.0,570.0,452.0,550.0,46800
2020-01-09,550.0,550.0,500.0,550.0,2100
2020-01-10,510.0,550.0,510.0,550.0,9900
2020-01-13,550.0,550.0,500.0,545.0,77600
2020-01-14,540.0,575.0,540.0,555.0,1800
2020-01-15,555.0,555.0,530.0,530.0,300
2020-01-16,550.0,570.0,550.0,570.0,600
2020-01-17,530.0,535.0,525.0,530.0,6000
2020-01-20,530.0,530.0,525.0,525.0,11000
2020-01-21,525.0,545.0,520.0,545.0,7800
2020-01-22,540.0,540.0,520.0,520.0,120400
2020-01-23,520.0,520.0,520.0,520.0,800
2020-01-24,515.0,515.0,515.0,515.0,1000
2020-01-27,510.0,510.0,472.0,480.0,30500
2020-01-28,472.0,500.0,452.0,500.0,95100
2020-01-29,505.0,520.0,480.0,515.0,2000
2020-01-30,515.0,515.0,480.0,480.0,600
2020-01-31,500.0,510.0,430.0,430.0,25000
2020-02-03,450.0,535.0,450.0,478.0,1394700
2020-02-04,500.0,505.0,420.0,430.0,378400
2020-02-05,430.0,460.0,430.0,440.0,96500
2020-02-06,450.0,460.0,442.0,450.0,31200
2020-02-07,450.0,454.0,444.0,450.0,17300
2020-02-10,450.0,456.0,444.0,454.0,3500
2020-02-11,454.0,454.0,448.0,452.0,800
2020-02-12,456.0,456.0,438.0,438.0,12800
2020-02-13,436.0,440.0,432.0,432.0,19000
2020-02-14,428.0,520.0,428.0,492.0,109400
2020-02-17,494.0,505.0,430.0,432.0,900900
2020-02-18,450.0,456.0,420.0,432.0,65800
2020-02-19,432.0,440.0,420.0,424.0,25900
2020-02-20,420.0,420.0,400.0,400.0,87500
