Tanggal,Open,High,Low,Close,Volume
2019-12-26,1845.0,1845.0,1835.0,1840.0,3388600
2019-12-27,1840.0,1850.0,1835.0,1845.0,3298100
2019-12-30,1845.0,1850.0,1835.0,1835.0,3536300
2020-01-02,1830.0,1835.0,1830.0,1830.0,3364400
2020-01-03,1830.0,1830.0,1825.0,1825.0,3422000
2020-01-06,1825.0,1825.0,1810.0,1815.0,3608000
2020-01-07,1815.0,1820.0,1805.0,1810.0,3537200
2020-01-08,1810.0,1810.0,1805.0,1805.0,3360200
2020-01-09,1805.0,1850.0,1805.0,1840.0,3403500
2020-01-10,1840.0,1860.0,1840.0,1850.0,3344100
2020-01-13,1850.0,1870.0,1850.0,1855.0,3319700
2020-01-14,1850.0,1855.0,1850.0,1850.0,2748100
2020-01-15,1850.0,1850.0,1835.0,1835.0,3879200
2020-01-16,1830.0,1840.0,1825.0,1830.0,3189600
2020-01-17,1825.0,1830.0,1825.0,1830.0,3725000
2020-01-20,1825.0,1830.0,1820.0,1825.0,2910400
2020-01-21,1820.0,1835.0,1820.0,1820.0,3978200
2020-01-22,1815.0,1830.0,1815.0,1815.0,3542900
2020-01-23,1810.0,1820.0,1810.0,1820.0,4208900
2020-01-24,1815.0,1820.0,1810.0,1815.0,2820000
2020-01-27,1815.0,1815.0,1800.0,1800.0,3684000
2020-01-28,1795.0,1810.0,1785.0,1810.0,4073000
2020-01-29,1810.0,1820.0,1805.0,1810.0,3352400
2020-01-30,1810.0,1820.0,1805.0,1805.0,3872600
2020-01-31,1805.0,1810.0,1795.0,1800.0,1747400
2020-02-03,1795.0,1795.0,1790.0,1795.0,572900
2020-02-04,1795.0,1805.0,1795.0,1800.0,350900
2020-02-05,1800.0,1805.0,1795.0,1805.0,282400
2020-02-06,1805.0,1805.0,1800.0,1800.0,257700
2020-02-07,1800.0,1805.0,1795.0,1800.0,277900
2020-02-10,1795.0,1800.0,1795.0,1795.0,261600
2020-02-11,1795.0,1800.0,1795.0,1795.0,284600
2020-02-12,1795.0,1795.0,1790.0,1795.0,294400
2020-02-13,1795.0,1795.0,1790.0,1795.0,277700
2020-02-14,1795.0,1795.0,1790.0,1795.0,278700
2020-02-17,1790.0,1800.0,1790.0,1790.0,271600
2020-02-18,1785.0,1795.0,1785.0,1795.0,265300
2020-02-19,1795.0,1800.0,1795.0,1800.0,306200
2020-02-20,1795.0,1800.0,1795.0,1800.0,307000
2020-02-21,1795.0,1795.0,1790.0,1795.0,279800
2020-02-24,1790.0,1790.0,1785.0,1785.0,253200
2020-02-25,1780.0,1785.0,1775.0,1780.0,283400
2020-02-26,1775.0,1775.0,1765.0,1765.0,255000
2020-02-27,1765.0,1765.0,1750.0,1750.0,269200
2020-02-28,1745.0,1745.0,1740.0,1740.0,330600
2020-03-02,1745.0,1750.0,1745.0,1745.0,281400
2020-03-03,1745.0,1755.0,1745.0,1755.0,343500
2020-03-04,1755.0,1760.0,1755.0,1760.0,285900
2020-03-05,1760.0,1765.0,1760.0,1765.0,278900
2020-03-06,1760.0,1760.0,1755.0,1755.0,288200
2020-03-09,1750.0,1750.0,1740.0,1740.0,255700
2020-03-10,1740.0,1750.0,1740.0,1750.0,258400
2020-03-11,1750.0,1750.0,1735.0,1735.0,298900
2020-03-12,1730.0,1730.0,1720.0,1720.0,284600
2020-03-13,1720.0,1720.0,1715.0,1715.0,294500
2020-03-16,1710.0,1710.0,1705.0,1705.0,290000
